Number of Records,Asian Hospice Beneficiaries,Average Age,Black Hospice Beneficiaries,City,Female Hospice Beneficiaries,Hispanic Hospice Beneficiaries,Home Health Visit Hours Per Day,Home Health Visit Hours Per Day During Week Prior To Death,Hospice Beneficiaries,Hospice Beneficiaries With A Primary Diagnosis Of Cancer,Hospice Beneficiaries With A Primary Diagnosis Of Circulatory Heart Disease,Hospice Beneficiaries With A Primary Diagnosis Of Dementia,Hospice Beneficiaries With A Primary Diagnosis Of Respiratory Disease,Hospice Beneficiaries With A Primary Diagnosis Of Stroke,Hospice Beneficiaries With More Than One Hundred Eighty Hospice Care Days,Hospice Beneficiaries With More Than Sixty Hospice Care Days,Hospice Beneficiaries With Other Primary Diagnoses,Hospice Beneficiaries With Seven Or Fewer Hospice Care Days,Hrr,Male Hospice Beneficiaries,Medicaid Eligible Hospice Beneficiaries,Medicare Advantage Hospice Beneficiaries,Name,Other Unknown Race Hospice Beneficiaries,Percent Routine Home Care Days,Physician Services,Provider Id,Site Of Service Assisted Living Facility Hospice Beneficiaries,Site Of Service Home Hospice Beneficiaries,Site Of Service Inpatient Hospice Hospice Beneficiaries,Site Of Service Inpatient Hospital Hospice Beneficiaries,Site Of Service Long Term Care Or Non Skilled Nursing Facility Hospice Beneficiaries,Site Of Service Other Facility Hospice Beneficiaries,Site Of Service Skilled Nursing Facility Hospice Beneficiaries,Skilled Nursing Visit Hours Per Day,Skilled Nursing Visit Hours Per Day During Week Prior To Death,Social Service Visit Hours Per Day,Social Service Visit Hours Per Day During Week Prior To Death,State,Street Address,Total Charge Amount,Total Days,Total Live Discharges,Total Medicare Payment Amount,Total Medicare Standard Payment Amount,White Hospice Beneficiaries,Zip Code
1,,81.9,,BLUE RIDGE,98,,0.208,0.085,162,43,34,21,24,,29,58,30,39,GA - Atlanta,64,51,28,"UNITED HOSPICE, INC- BLUE RIDGE",,99,0,111608,,98,0,12,38,0,,0.218,0.307,0.021,0.041,GA,"6050 APPALACHIAN HWY, CLOCK TOWER CROSSING",2496632,13100,15,1781928,2045540,161,30513
1,,83.5,86,ATLANTA,141,,0.336,0.13,211,31,30,98,16,12,31,90,24,25,GA - Atlanta,70,135,62,ASERACARE HOSPICE,,100,0,111510,,30,0,0,130,,43,0.201,0.188,0.045,0.056,GA,"1117 PERIMETER CENTER WEST, SUITE N500",3779566,18138,29,2717200,2809923,116,30338
1,,77.8,107,CONYERS,143,,0.541,0.166,220,34,45,80,29,12,57,103,20,35,GA - Atlanta,77,70,76,NEW CENTURY HOSPICE OF ATLANTA,,99,0,111668,,121,15,,34,47,,0.268,0.271,0.048,0.069,GA,1374 MANCHESTER DRIVE,6283885,23344,73,3564039,3654151,105,30012
1,,79.9,,JASPER,100,,0.343,0.141,179,48,43,25,22,,19,56,35,45,GA - Atlanta,79,31,33,"GEORGIA MOUNTAIN HOSPICE, INC.",,100,0,111532,12,141,0,0,26,0,0,0.34,0.372,0.031,0.051,GA,70 CARING WAY,2688375,11781,22,1705341,1820057,177,30143
1,0,81.4,35,ATHENS,126,,0.269,0.118,207,43,52,39,33,,43,82,31,37,GA - Atlanta,81,89,43,UNITED HOSPICE OF ATHENS,,99,,111650,0,104,,,83,0,12,0.17,0.185,0.019,0.027,GA,435 HAWTHORNE AVENUE # 200,3843831,19547,34,2861241,3026386,168,30606
1,,81.8,21,ATHENS,128,,0.796,0.205,216,31,54,53,37,,65,117,32,19,GA - Atlanta,88,24,39,"COMPASSIONATE CARE HOSPICE OF NORTHERN GA, LLC",,100,,111708,38,169,0,,,0,0,0.176,0.337,0.026,0.033,GA,2340 PRINCE AVENUE SUITE A,5769931,26798,22,3828072,4125707,191,30606
1,,78.6,82,AUGUSTA,186,,0.174,0.086,284,120,40,51,32,19,22,70,22,87,GA - Augusta,98,38,83,TRINITY HOME SERVICES,,98,20,111515,,221,,47,12,0,,0.261,0.2,0.024,0.04,GA,1501 ANTHONY ROAD,2810704,14264,32,2171827,2276389,197,30904
1,,81.6,105,SWAINSBORO,243,,0.365,0.126,404,76,71,74,49,72,86,172,62,80,GA - Augusta,161,176,104,UNITED HOSPICE INC- SWAINSBORO,,99,0,111572,22,179,,22,165,,15,0.194,0.308,0.033,0.068,GA,667 S MAIN STREET,7478245,38275,59,5263031,5963897,295,30401
1,0,80.2,59,AUGUSTA,127,,0.32,0.135,201,52,22,71,21,13,32,72,22,50,GA - Augusta,74,79,62,"ALLIANCE HOSPICE, LLC",,99,0,111631,,73,0,26,0,,95,0.185,0.438,0.02,0.068,GA,"3685 OLD PETERSBURG ROAD, SUITE 145",3479259,15963,20,2371598,2512630,140,30907
1,,80.9,132,AUGUSTA,405,,0.298,0.117,689,159,107,184,101,36,159,310,102,145,GA - Augusta,284,109,214,REGENCY HOSPICE,,99,122,111637,95,445,,107,36,0,,0.214,0.239,0.032,0.053,GA,2924 PROFESSIONAL PARKWAY,14443778,70086,88,10369395,11089204,547,30907
1,,81.6,99,AIKEN,368,,0.345,0.111,666,189,105,163,98,31,103,248,80,144,GA - Augusta,298,107,114,REGENCY HOSPICE OF SOUTH CAROLINA - AIKEN,,99,117,421552,61,408,,71,72,,49,0.22,0.237,0.048,0.07,SC,105 SUMMERWOOD WAY,11161999,53018,107,7770101,8313327,557,29803
1,0,81.2,,AUGUSTA,,0,0.26,0.074,27,,,,,,,,,,GA - Augusta,,,,"AFFINIS HOSPICE, LLC",,96,0,111748,0,20,0,,0,,0,0.337,0.341,0.03,0.032,GA,1365 INTERSTATE PARKWAY,386891,829,,138049,145276,18,30909
1,,78.6,,AIKEN,,0,0.33,0.153,32,,,,,,,11,,,GA - Augusta,,,,"LIBERTY HOMECARE AND HOSPICE,LLC",0,100,0,421523,,29,0,0,0,0,,0.237,0.375,0.108,0.137,SC,"1307 EAST PINE LOG ROAD, SUITE B",509510,2092,,309842,322273,26,29803
1,0,79.3,,NORTH AUGUSTA,,0,0.32,0.156,23,,,,,,,,,,GA - Augusta,,0,,ST JOSEPH HOSPICE LLC,,100,0,421615,0,23,0,0,0,0,0,0.208,0.316,0.085,0.102,SC,"1708 BUNTING DR, STE A",540083,2213,,321503,338962,18,29841
1,0,81.4,15,STATESBORO,30,0,0.351,0.181,42,,,12,,,,20,11,,GA - Augusta,12,19,,"HOSPICE ADVANTAGE, LLC",0,100,,111664,,25,,0,0,0,13,0.24,0.529,0.048,0.098,GA,7 ALLEN-CAIL DRIVE STE A,1079225,4318,26,571047,661537,27,30458
1,0,79,,AUGUSTA,28,,0.482,0.205,40,12,,13,,0,,18,,,GA - Augusta,12,11,14,"HOMESTEAD HOSPICE OF AUGUSTA, LLC",0,99,0,111742,,28,0,0,0,0,,0.289,0.412,0.01,,GA,4210 COLUMBIA ROAD BLDG 12 SUITE D,896267,2328,,353973,368351,31,30907
1,0,78.6,,NORTH AUGUSTA,12,0,0.675,0.194,25,,,11,,0,,,,,GA - Augusta,13,,,"HOMESTEAD HOSPICE OF AUGUSTA, LLC",,100,0,421621,,18,0,0,0,,0,0.312,0.556,0.038,0.043,SC,505 W MARTINTOWN ROAD,571586,1423,,209884,218803,22,29841
1,0,77.4,,AIKEN,19,0,0.18,0.079,36,14,,,,,0,13,,,GA - Augusta,17,,,"CARESOUTH HOSPICE, LLC",,100,0,421623,,34,0,0,0,,0,0.171,0.24,0.018,,SC,"410 UNIVERSITY PARKWAY, STE 2000",281965,1705,,247155,259836,30,29801
1,0,80.9,20,AUGUSTA,38,0,0.246,0.087,57,22,,15,,0,11,31,,,GA - Augusta,19,,15,MEDICAL SERVICES OF AMERICA HOSPICE,0,100,0,111626,,45,0,0,0,0,,0.137,0.22,0,0,GA,"4314 BELAIR FRONTAGE RD, SUITE B",1187445,5886,16,851587,906782,37,30909
1,0,78.3,19,AIKEN,41,0,0.305,0.136,64,14,19,13,,,19,38,,,GA - Augusta,23,,22,HALCYON HOSPICE OF AIKEN,0,99,0,421597,0,62,0,,0,0,,0.187,0.345,0.027,0.032,SC,225 BARNWELL AVE NW,1523884,8191,12,1160123,1261540,45,29801
1,,79.1,24,AUGUSTA,42,,0.171,0.086,68,22,12,17,,,,24,,12,GA - Augusta,26,12,16,"CARESOUTH HOSPICE, LLC",,100,0,111732,,59,0,,,,,0.175,0.369,0.016,0.014,GA,231 FURY'S FERRY ROAD SUITE 212,718600,4497,16,654552,692905,43,30907
1,0,81.3,,NORTH AUGUSTA,31,,0.211,0.103,57,12,,22,,,,28,,,GA - Augusta,26,11,13,ALLIANCE HOSPICE,0,99,0,421586,,44,0,0,0,0,,0.19,0.487,0.024,0.077,SC,802 EAST MARTINTOWN ROAD,1085177,5229,,762789,808724,52,29841
1,0,78.4,14,AUGUSTA,27,,0.366,0.157,60,13,14,12,,,12,31,,,GA - Augusta,33,12,,"ST JOSEPH HOSPICE, LLC",,99,24,111722,0,52,0,0,0,,,0.159,0.38,0.087,0.146,GA,1220 GEORGE C WILSON DRIVE,1565853,6581,,996938,1036510,43,30909
1,,76.6,20,AIKEN,37,0,0.276,0.139,70,16,,15,15,,,33,,,GA - Augusta,33,17,21,SOUTHERN CARE AIKEN,,100,0,421539,,61,0,0,0,,0,0.142,0.181,0.008,,SC,"35 VARDEN DRIVE, SUITE A & B",1748537,6008,37,849565,921797,49,29803
1,0,78,16,MARTINEZ,32,0,0.303,0.104,67,31,12,,16,,,,,31,GA - Augusta,35,,21,"UNIVERSITY HOSPICE, INC",0,96,0,111729,0,48,0,18,0,,,0.34,0.531,0.039,0.055,GA,4106 COLUMBIA ROAD SUITE 201,484519,1745,,288844,298045,51,30907
1,0,82.2,34,WRIGHTSVILLE,57,0,0.453,0.162,98,21,19,27,11,,22,43,14,16,GA - Augusta,41,40,24,"HOSPICE ADVANTAGE,LLC",0,99,,111694,,49,0,,0,0,35,0.261,0.378,0.023,0.047,GA,606 WEST COURT STREET,2634302,9830,13,1313521,1519408,64,31096
1,,80.7,36,EVANS,74,,0.244,0.106,118,27,12,36,15,13,17,53,15,20,GA - Augusta,44,47,38,PRUITTHEALTH HOSPICE-AUGUSTA,,99,0,111580,0,73,0,,37,0,,0.184,0.31,0.023,0.029,GA,"620 PONDER PLACE DRIVE, SUITE 1A",2001163,10077,19,1497777,1560630,79,30809
1,,79.6,47,AUGUSTA,114,,0.277,0.132,174,60,23,44,19,14,27,78,14,24,GA - Augusta,60,25,52,GENTIVA HOSPICE,,99,,111667,,149,0,,13,0,,0.213,0.352,0.035,0.04,GA,"3508 PROFESSIONAL CIRCLE, SUITE A",3091661,15124,29,2243342,2334134,118,30907
1,,79.5,53,AUGUSTA,105,0,0.256,0.098,174,38,23,48,28,13,35,90,24,28,GA - Augusta,69,29,61,HEARTLAND HOSPICE SERVICES- N AUGUSTA,,98,0,111610,,138,0,17,,0,,0.228,0.304,0.069,0.086,GA,153 DAVIS ROAD,4517825,18719,36,2803780,2924167,117,30907
1,0,78.8,28,AIKEN,96,0,0.215,0.096,180,84,26,22,17,11,,23,20,51,GA - Augusta,84,27,49,TRINITY HOME SERVICES CNTR FOR HOSPICE  PALLIATIVE,0,99,0,421595,,167,0,,0,0,,0.312,0.26,0.053,0.1,SC,690 MEDICAL PARK DRIVE SUITE 400,1261654,5982,11,891776,932210,152,29803
1,,82.7,0,DUBUQUE,404,,0.075,0.056,727,239,110,106,77,58,40,182,137,229,IA - Dubuque,323,181,340,HOSPICE OF DUBUQUE,,100,50,161514,22,315,0,,386,,0,0.398,0.347,0.065,0.103,IA,1670 JOHN F KENNEDY ROAD,7400155,33932,42,4796766,5225271,720,52002
1,,79.6,432,CHICAGO,625,140,0.349,0.364,1003,514,93,138,58,71,82,233,129,317,IL - Chicago,378,346,160,"HORIZON HOSPICE & PALLIATIVE CARE, INC",,95,1794,141512,18,652,166,91,76,0,0,0.326,0.553,0.027,0.032,IL,833 WEST CHICAGO AVENUE,21991554,50763,74,9729683,9266414,400,60622
1,,78.2,138,CHICAGO,161,34,0.418,0.276,356,137,30,64,23,26,72,144,76,57,IL - Chicago,195,137,55,"UNITY HOSPICE OF CHICAGOLAND, LLC",,99,0,141551,24,211,,,114,0,,0.187,0.459,0.026,0.085,IL,700 S CLINTON STREET SUITE 210,11981308,33103,30,5488800,5231578,175,60607
1,,80.7,652,CHICAGO,602,53,0.518,0.886,999,405,98,75,72,84,94,219,265,314,IL - Chicago,397,404,211,VITAS CORPORATION,,93,2897,141574,32,497,295,,170,0,,0.62,1.081,0.039,0.063,IL,"1340 SOUTH DAMEN AVENUE, STE 200",19359114,52693,89,10838553,10323935,244,60608
1,,84.8,,CHICAGO,178,24,0.368,0.139,278,73,56,90,14,20,40,74,25,84,IL - Chicago,100,101,35,LOVING HANDS HOSPICE,,99,39,141629,0,237,0,41,0,0,0,0.384,0.258,0,0,IL,"6535 NORTH OLMSTEAD AVENUE, SUITE 150",5382009,18016,17,2996920,2855013,238,60631
1,0,85.2,11,CHICAGO,,,0.352,0.101,17,,,,,0,,,,,IL - Chicago,,,,MAXIMUM HOSPICE AND PALLIATIVE CARE,0,100,0,141625,0,17,0,0,0,0,0,0.118,0.119,0.01,,IL,"711 WEST MAXWELL STREET, SUITE B-1",185280,1018,,164250,156052,,60607
1,0,88.1,,CHICAGO,38,,0.154,0.08,54,,,25,,,,22,,,IL - Chicago,16,26,,HOSPICE OF ILLINOIS,0,100,0,141596,0,22,0,0,27,,,0.085,0.097,0.029,0.038,IL,5061 N PULASKI RD,1583858,5800,,932245,888138,44,60630
1,0,87.2,23,CHICAGO,74,,0.48,0.37,97,14,15,11,,,18,58,,,IL - Chicago,23,66,36,COMFORT HOSPICE AND PALLIATIVE CARE LLC,,99,33,141647,60,25,0,0,0,0,12,0.352,0.696,0.059,0.099,IL,8750 W BRYN MAWR AVENUE STE 460,2632352,9869,31,1619341,1540416,71,60631
1,,81.9,46,MUNSTER,366,53,0.203,0.141,633,284,95,72,51,49,12,62,82,304,IN - Munster,267,57,78,HOSPICE OF THE CALUMET AREA INC,,94,0,151500,12,350,178,,,31,54,0.402,0.343,0.045,0.062,IN,600 SUPERIOR AVE,5250154,14369,15,2557385,2656083,528,46321
1,0,81.6,,HAMMOND,,,0.103,0.402,27,,,,0,0,,,,,IN - Munster,,12,,BLUE SKIES HOSPICE INCORPORATED,0,99,0,151581,0,15,0,0,12,0,0,0.102,0.431,0.013,,IN,2714 169TH ST,368222,1305,,199955,207984,21,46323
1,0,81.8,,LANSING,42,,0.127,0.117,81,42,13,,,,,,,32,IN - Munster,39,,17,HOSPICE OF THE CALUMET AREA IN,0,100,0,141529,,78,0,0,0,0,,0.361,0.264,0.049,0.086,IL,"3224 RIDGE ROAD, SUITE 202 AND 203",650837,2214,,356427,339990,68,60438
1,11,80.2,63,WICHITA,954,39,0.242,0.141,1737,596,249,219,197,134,107,373,342,669,KS - Wichita,783,358,229,HARRY HYNES MEMORIAL HOSPICE,24,96,2163,171500,91,680,473,13,439,41,0,0.348,0.395,0.064,0.09,KS,313 S MARKET,23167113,73579,129,11525697,12786908,1600,67202
1,0,81.8,,HUTCHINSON,280,,0.116,0.057,495,137,71,76,76,25,31,102,110,170,KS - Wichita,215,137,29,HOSPICE AND HOMECARE OF RENO COUNTY,,93,92,171503,,127,157,,,22,169,0.366,0.455,0.058,0.075,KS,1600 N LORRAINE SUITE 203,5823577,20829,38,3471403,3978133,477,67501
1,0,84.7,,DODGE CITY,90,,0.197,0.118,164,37,46,20,15,11,18,52,35,51,KS - Wichita,74,53,,HOSPICE OF THE PRAIRIE,,100,0,171508,,78,0,,23,0,60,0.178,0.251,0.079,0.16,KS,200 FOURTH CIRCLE,2367331,9726,18,1301182,1495662,157,67801
1,0,82.5,0,PRATT,65,,0.536,0.194,137,45,23,17,20,,18,39,26,38,KS - Wichita,72,23,,SOUTH WIND HOSPICE,,95,125,171513,,45,25,17,25,,0,0.317,0.292,0.033,0.054,KS,496 YUCCA LANE,1820443,8169,,1185328,1358240,136,67124
1,,84.3,,PHILLIPSBURG,143,,0,0,234,76,51,26,25,15,11,47,41,69,KS - Wichita,91,67,,HOSPICE SERVICES INC,0,100,,171515,0,234,0,0,0,0,0,0.289,0.267,0.073,0.098,KS,424 EIGHTH STREET,2248341,9878,23,1324940,1522644,231,67661
1,,81.7,0,SALINA,106,,0.053,0.03,178,73,17,19,22,14,,41,33,48,KS - Wichita,72,38,18,HOSPICE OF SALINA,0,99,,171521,11,74,,0,69,16,,0.223,0.245,0.058,0.069,KS,730 HOLLY LANE,1674882,7615,19,1048661,1204286,172,67401
1,,83.2,18,WICHITA,593,15,0.268,0.189,954,186,194,273,120,63,196,391,118,201,KS - Wichita,361,377,89,GENTIVA HOSPICE,,100,0,171542,78,293,0,,551,,21,0.272,0.355,0.035,0.078,KS,2622 W CENTRAL AVE SUITE 401B,17215577,86744,105,11977553,13336115,915,67203
1,0,83.2,,WICHITA,139,,0.231,0.132,235,46,55,69,27,14,32,69,24,56,KS - Wichita,96,50,25,AMEDISYS HOSPICE OF WICHITA,,99,0,171548,28,153,,12,41,,,0.404,0.471,0.078,0.122,KS,250 W DOUGLAS SUITE 101,4655000,16073,21,2285630,2489417,221,67203
1,,83.7,,WICHITA,214,,0.212,0.127,368,68,68,97,44,32,48,132,59,80,KS - Wichita,154,133,32,RIVERCROSS HOSPICE LLC,,100,190,171559,27,116,,,219,,0,0.309,0.324,0.037,0.069,KS,251 S WHITTIER,5257982,25617,31,3588964,3967564,348,67207
1,,84.4,15,WICHITA,355,,0.326,0.195,579,88,154,162,62,35,52,172,78,156,KS - Wichita,224,226,86,GOOD SHEPHERD HOSPICE,,99,0,171561,110,114,,11,343,,,0.461,0.604,0.046,0.089,KS,7829 E ROCKHILL,7488790,33794,50,4804490,5274273,549,67206
1,0,83.7,,WICHITA,143,,0.452,0.24,237,37,80,59,31,12,37,117,18,23,KS - Wichita,94,49,41,INTERIM HEALTHCARE OF WICHITA INC (HOSPICE),,100,0,171576,21,196,0,,16,0,,0.314,0.793,0.052,0.123,KS,333 SO BROADWAY SUITE 200,4815398,20583,56,2875027,3156937,218,67202
1,0,79,0,CHANUTE,,0,0.168,0.096,20,,,,,,,,,,KS - Wichita,,,,HORIZON HOSPICE,0,100,0,171525,,12,0,0,,0,,0.218,0.165,0.1,0.107,KS,629 S PLUMMER AVE,369178,908,,120852,139131,20,66720
1,0,87.5,0,SALINA,,,0.093,0.101,23,,,,,,,,,,KS - Wichita,,,,BROOKDALE HOSPICE KANSAS,,100,0,171591,14,,0,0,0,,0,0.187,0.337,0.039,0.087,KS,123 INDIANA AVENUE SUITE C,154652,851,,114581,132761,20,67401
1,0,85.1,,INDEPENDENCE,34,0,0.078,0.063,48,16,12,,,,,19,,11,KS - Wichita,14,12,0,MERCY HOSPICE (INDEPENDENCE),,100,0,171586,,31,0,,,0,,0.192,0.197,0.081,0.146,KS,900 W MYRTLE STE 106,765653,3429,,455804,524341,45,67301
1,0,86,0,BELOIT,30,0,0.053,0.094,46,16,,,,,,,,15,KS - Wichita,16,,,SOLOMON VALLEY HOSPICE,0,99,,171539,,15,0,,18,0,11,0.436,0.397,0.075,0.114,KS,111 EAST COURT,588435,2118,,296191,339889,46,67420
1,,76.2,,WICHITA,35,0,0.262,0.271,57,12,17,,,,21,34,,,KS - Wichita,22,26,,CLEAR PATH HOSPICE OF WICHITA LLS,,100,0,171589,0,57,0,0,0,0,0,0.359,0.385,0.097,0.213,KS,1515 S CLIFTON #270,1870867,8043,20,1126134,1229177,45,67218
1,,78.2,,WICHITA,26,,0.372,0.192,49,13,12,,,,,15,,,KS - Wichita,23,,,ENCOMPASS HOSPICE OF KANSAS,0,100,0,171558,12,31,0,0,0,,,0.249,0.374,0.067,0.107,KS,245 N WACO STREET SUITE 125,618499,3031,12,423629,465603,44,67202
1,0,82.5,,WICHITA,26,0,0.125,0.074,50,17,13,,,,,,,,KS - Wichita,24,11,15,PROMISES KEPT INC,,100,0,171585,,31,0,,,0,0,0.192,0.824,0.019,0.038,KS,319 N DOWELL STREET,357033,1971,,275370,300341,45,67206
1,,84.7,0,IOLA,24,0,0.109,0.08,50,19,,14,,,,,,17,KS - Wichita,26,16,,ALLEN COUNTY REGIONAL HOSPICE,,100,0,171541,0,22,0,0,27,,,0.211,0.273,0.055,0.151,KS,826 EAST MADISON AVENUE,495611,2286,0,305811,350911,48,66749
1,,81.2,,EL DORADO,29,0,0.259,0.125,56,,18,13,,,,23,,,KS - Wichita,27,30,,ASERACARE HOSPICE,0,100,0,171575,13,12,0,0,30,,,0.309,0.252,0.058,0.082,KS,145 NORTH MAIN STREET SUITE 103,736710,3391,15,470385,521157,54,67042
1,0,83.4,,GREAT BEND,42,,0.044,0.05,73,31,,,,,,,12,31,KS - Wichita,31,18,,GOLDEN BELT HOME HEALTH & HOSPICE,0,100,0,171512,27,35,0,0,,0,,0.315,0.309,0.098,0.158,KS,3520 LAKIN #102,471874,2056,,274022,314949,70,67530
1,0,84.2,0,HAYS,45,0,0.078,0.06,82,23,15,16,,,,,,31,KS - Wichita,37,18,,HOSPICE & PALLIATIVE CARE AT HAYSMED,0,99,0,171533,,24,0,,46,0,,0.205,0.131,0.074,0.083,KS,2220 CANTERBURY DRIVE,282850,1861,,248804,284841,82,67601
1,,79.7,11,WICHITA,51,,0.073,0.038,100,24,24,,,,,32,,17,KS - Wichita,49,17,24,PROGRESSIVE HOME HEALTH & HOSPICE,,99,0,171554,0,91,0,0,,,0,0.083,0.059,0.008,0.013,KS,3500 N ROCK ROAD BLDG 400,1205649,6022,39,844949,925553,82,67226
1,0,83.4,,PARSONS,68,,0.135,0.079,118,19,28,29,24,,16,46,13,25,KS - Wichita,50,43,,GENTIVA HOSPICE,0,100,0,171556,,44,0,0,59,0,,0.177,0.187,0.053,0.085,KS,1906 MAIN STREET SUITE 103,1543047,8699,,1165687,1340213,116,67357
1,,81.5,,WICHITA,78,,0.155,0.113,132,18,31,49,,,18,60,,20,KS - Wichita,54,34,19,HOME HEALTH OF KANSAS,0,100,0,171568,42,61,0,0,12,,,0.323,0.336,0.057,0.068,KS,7607 E HARRY,2208243,10740,24,1497102,1654743,118,67207
1,,81,,GARDEN CITY,90,22,0.041,0.036,159,59,18,24,24,,,32,28,53,KS - Wichita,69,39,,ST CATHERINE HOSPICE,0,99,0,171530,13,70,0,19,56,,,0.158,0.188,0.04,0.073,KS,602 N 6TH STREET,1377653,6510,15,903970,1042915,135,67846
1,,79.1,13,WICHITA,109,,0.31,0.199,188,33,52,26,33,19,57,108,25,18,KS - Wichita,79,58,35,SCCS HOME HEALTH & HOSPICE PA,,100,0,171528,11,138,0,,38,,0,0.224,0.427,0.074,0.112,KS,3210 W KELLOGG,6061413,23871,28,3367256,3680744,163,67213
1,0,80,,METROPOLIS,75,,0.047,0.03,130,33,17,23,23,,11,31,32,36,KY - Paducah,55,46,31,LOURDES HOSPICE,0,99,,141548,,65,0,,17,0,39,0.103,0.135,0.016,0.033,IL,600 MARKET ST,1828003,6649,12,939491,1042826,127,62960
1,,78.2,29,PADUCAH,459,,0.077,0.045,833,270,121,107,174,30,62,200,131,275,KY - Paducah,374,156,130,LOURDES HOSPICE,,98,113,181507,20,535,0,141,57,0,80,0.109,0.137,0.024,0.06,KY,911 JOE CLIFTON DRIVE,12062666,41269,39,5672789,6561231,801,42001
1,,78.2,,MADISONVILLE,95,0,0.039,0.03,188,81,20,28,34,,12,39,20,53,KY - Paducah,93,18,69,BAPTIST HEALTH HOSPICE,0,99,0,181527,,164,0,18,0,0,,0.047,0.086,0.01,0.012,KY,418 NORTH SCOTT STREET,2534637,8824,12,1208864,1396060,180,42431
1,0,80.2,,MURRAY,73,0,0.128,0.068,127,46,19,18,12,,,23,22,39,KY - Paducah,54,25,16,MURRAY CALLOWAY COUNTY HOSPITAL HOSPICE,,100,0,181523,,108,0,,16,0,0,0.385,0.365,0.039,0.045,KY,903 POPLAR STREET,923914,4509,,605743,701137,125,42071
1,0,72,22,SLIDELL,33,,0.459,0.326,52,,15,16,,,12,34,,,LA - Slidell,19,18,26,"HAVEN HEALTH AND HOSPICE OF LOUISIANA, INC",,100,,191612,,50,0,0,0,0,,0.111,0.174,0.017,,LA,"753 ROBERT BLVD, STE B",1248349,6118,,882158,939413,27,70458
1,0,79.6,,DIAMONDHEAD,60,0,0.304,0.204,101,38,14,23,,,,36,,19,LA - Slidell,41,20,11,NOTRE DAME HOSPICE OF MISSISSIPPI,,100,0,251685,,82,0,0,,0,,0.308,0.433,0.068,0.076,MS,5407 INDIAN HILL BOULEVARD,1404284,6460,13,898607,997285,92,39525
1,0,81.9,,PORT HURON,183,,0.65,0.203,314,126,58,41,28,19,15,64,42,106,MI - Detroit,131,62,74,BLUE WATER HOSPICE,,99,0,231543,,200,,,37,64,,0.599,0.279,0.021,0.041,MI,"1430 MILITARY, SUITE A",4192660,12415,26,1875756,1931433,300,48060
1,,81.1,497,CLINTON TOWNSHIP,1277,19,0.063,0.025,2139,718,382,279,347,160,55,254,253,1174,MI - Detroit,862,471,511,REVERENCE HOME HEALTH AND HOSPICE,,91,307,231583,56,849,,1025,,,208,0.124,0.12,0.037,0.062,MI,37650 GARFIELD ROAD,17757751,53124,85,10326708,10595465,1596,48036
1,,82,0,OWOSSO,122,0,0.117,0.058,219,75,40,38,25,,14,49,31,77,MI - Lansing,97,46,57,MEMORIAL HEALTHCARE,,99,0,231514,21,132,,22,,,43,0.134,0.088,0.031,0.042,MI,"1975 W M21, SUITE 102",3332662,9219,12,1280699,1422519,217,48867
1,,80.6,33,LANSING,383,15,0.186,0.243,665,227,104,73,82,59,37,125,120,228,MI - Lansing,282,120,156,SPARROW HOSPICE SERVICES,,97,338,231519,,266,65,,11,300,12,0.631,0.298,0.025,0.048,MI,1210 WEST SAGINAW STREET,12089056,26879,27,4591570,4511345,608,48915
1,,82.6,,LANSING,115,,0.352,0.134,234,57,54,34,27,20,30,72,42,49,MI - Lansing,119,31,64,HOSPICE OF LANSING,0,99,214,231522,41,116,,0,,58,,0.37,0.288,0.035,0.058,MI,"4052 LEGACY PARKWAY, SUITE 200",3324316,15659,15,2440315,2476648,227,48911
1,0,79.4,,MOUNT PLEASANT,105,,0.254,0.143,197,72,35,,26,18,,39,,75,MI - Lansing,92,48,52,WOODLAND HOSPICE,,100,70,231549,17,80,,0,,82,11,0.404,0.313,0.044,0.045,MI,2597 MERIDIAN,1655525,7895,,1100848,1226238,189,48858
1,0,82.9,12,MASON,146,,0.207,0.14,253,34,81,67,20,12,75,135,39,31,MI - Lansing,107,52,62,HEARTLAND HOME HEALTH CARE AND HOSPICE,,100,,231588,64,138,,0,39,,,0.232,0.355,0.063,0.119,MI,865 SOUTH CEDAR STREET,7501715,31569,18,4922106,4852979,233,48854
1,,84.6,16,LANSING,257,,0.49,0.198,385,42,126,133,21,32,74,150,31,73,MI - Lansing,128,149,79,HOSPICE ADVANTAGE,,100,293,231599,145,106,0,0,0,0,134,0.268,0.358,0.053,0.116,MI,801 SOUTH WAVERLY ROAD SUITE 200,10319846,34646,20,5412051,5372871,361,48917
1,,80.2,17,SAGINAW,154,11,0.981,0.303,277,125,43,22,19,21,,23,47,146,MI - Saginaw,123,27,69,COVENANT VISITING NURSE ASSOCIATION,,100,0,231516,0,277,0,0,0,0,0,0.62,0.362,0.09,0.128,MI,"500 SOUTH HAMILTON, SUITE C",2251582,6464,12,928373,998976,245,48602
1,0,79.3,0,WEST BRANCH,75,,0.262,0.134,157,59,30,26,18,,25,62,15,31,MI - Saginaw,82,42,29,HOSPICE OF HELPING HANDS,,100,0,231540,22,109,0,,0,,25,0.311,0.322,0.058,0.086,MI,322 W HOUGHTON AVE,3025124,12997,,1791337,1997586,155,48661
