Number of Records,Address,City,County Name,Effectiveness Of Care National Comparison,Effectiveness Of Care National Comparison Footnote,Efficient Use Of Medical Imaging National Comparison,Efficient Use Of Medical Imaging National Comparison Footnote,Emergency Services,Hospital Name,Hospital Overall Rating,Hospital Overall Rating Footnote,Hospital Ownership,Hospital Type,Location,Meets Criteria For Meaningful Use Of Ehrs,Mortality National Comparison,Mortality National Comparison Footnote,Patient Experience National Comparison,Patient Experience National Comparison Footnote,Phone Number,Provider Id,Readmission National Comparison,Readmission National Comparison Footnote,Safety Of Care National Comparison,Safety Of Care National Comparison Footnote,State,Timeliness Of Care National Comparison,Timeliness Of Care National Comparison Footnote,Zip Code
1,251 E HURON ST,CHICAGO,COOK,Same as the national average,,Below the national average,,True,NORTHWESTERN MEMORIAL HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"251 E HURON ST CHICAGO, IL 60611 (41.894995, -87.621364)",True,Above the national average,,Above the national average,,(312) 926-2000,140281,Below the national average,,Below the national average,,IL,Below the national average,,60611
1,818 E BROADWAY,SPARTA,RANDOLPH,Not Available,5,Same as the national average,,True,SPARTA COMMUNITY HOSPITAL,3,,Government - Hospital District or Authority,Critical Access Hospitals,"818 E BROADWAY SPARTA, IL 62286",True,Same as the national average,,Not Available,16,(618) 443-2177,141349,Above the national average,,Not Available,16,IL,Not Available,16,62286
1,77 N AIRLITE STREET,ELGIN,KANE,Same as the national average,,Same as the national average,,True,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,4,,Voluntary non-profit - Church,Acute Care Hospitals,"77 N AIRLITE STREET ELGIN, IL 60123 (42.036242, -88.327934)",True,Same as the national average,,Below the national average,,(847) 695-3200,140217,Above the national average,,Above the national average,,IL,Above the national average,,60123
1,25 NORTH WINFIELD ROAD,WINFIELD,DU PAGE,Same as the national average,,Same as the national average,,True,CENTRAL DUPAGE HOSPITAL,5,,Voluntary non-profit - Private,Acute Care Hospitals,"25 NORTH WINFIELD ROAD WINFIELD, IL 60190 (41.873765, -88.158095)",True,Same as the national average,,Above the national average,,(630) 682-1600,140242,Above the national average,,Same as the national average,,IL,Same as the national average,,60190
1,925 WEST ST,PERU,LA SALLE,Same as the national average,,Same as the national average,,True,ILLINOIS VALLEY COMMUNITY HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"925 WEST ST PERU, IL 61354 (41.328769, -89.125188)",,Same as the national average,,Above the national average,,(815) 223-3300,140234,Below the national average,,Above the national average,,IL,Above the national average,,61354
1,100 EAST LEFEVRE ROAD,STERLING,WHITESIDE,Same as the national average,,Same as the national average,,True,CGH MEDICAL CENTER,4,,Government - Local,Acute Care Hospitals,"100 EAST LEFEVRE ROAD STERLING, IL 61081 (41.801564, -89.696733)",True,Same as the national average,,Above the national average,,(815) 625-0400,140043,Below the national average,,Above the national average,,IL,Above the national average,,61081
1,326 W 64TH ST,CHICAGO,COOK,Same as the national average,,Not Available,5,True,ST BERNARD HOSPITAL,1,,Voluntary non-profit - Private,Acute Care Hospitals,"326 W 64TH ST CHICAGO, IL 60621 (41.778114, -87.633273)",True,Same as the national average,,Below the national average,,(773) 962-3900,140103,Below the national average,,Above the national average,,IL,Below the national average,,60621
1,800 E CARPENTER ST,SPRINGFIELD,SANGAMON,Same as the national average,,Same as the national average,,True,ST JOHNS HOSPITAL,3,,Voluntary non-profit - Church,Acute Care Hospitals,"800 E CARPENTER ST SPRINGFIELD, IL 62769 (39.807289, -89.644833)",True,Below the national average,,Same as the national average,,(217) 544-6464,140053,Above the national average,,Above the national average,,IL,Below the national average,,62769
1,701 WINTHROP AVENUE,GLENDALE HEIGHTS,DU PAGE,Same as the national average,,Same as the national average,,True,ADVENTIST GLENOAKS,2,,Voluntary non-profit - Other,Acute Care Hospitals,"701 WINTHROP AVENUE GLENDALE HEIGHTS, IL 60139 (41.915166, -88.058597)",True,Same as the national average,,Below the national average,,(630) 545-8000,140292,Above the national average,,Same as the national average,,IL,Above the national average,,60139
1,15TH STREET AT CALIFORNIA,CHICAGO,COOK,Same as the national average,,Same as the national average,,True,MT SINAI HOSPITAL MEDICAL CENTER,1,,Voluntary non-profit - Private,Acute Care Hospitals,"15TH STREET AT CALIFORNIA CHICAGO, IL 60608",True,Same as the national average,,Below the national average,,(773) 542-2000,140018,Below the national average,,Below the national average,,IL,Below the national average,,60608
1,530 PARK AVENUE EAST,PRINCETON,BUREAU,Same as the national average,,Same as the national average,,True,PERRY MEMORIAL HOSPITAL,3,,Government - Local,Critical Access Hospitals,"530 PARK AVENUE EAST PRINCETON, IL 61356 (41.36801, -89.455958)",True,Same as the national average,,Above the national average,,(815) 875-2811,141337,Same as the national average,,Not Available,5,IL,Same as the national average,,61356
1,503 N MAPLE STREET,EFFINGHAM,EFFINGHAM,Same as the national average,,Same as the national average,,True,ST ANTHONYS MEMORIAL HOSPITAL,3,,Voluntary non-profit - Church,Acute Care Hospitals,"503 N MAPLE STREET EFFINGHAM, IL 62401 (39.124496, -88.549274)",True,Same as the national average,,Above the national average,,(217) 342-2121,140032,Same as the national average,,Below the national average,,IL,Above the national average,,62401
1,45 W 111TH STREET,CHICAGO,COOK,Below the national average,,Not Available,5,True,ROSELAND COMMUNITY HOSPITAL,1,,Voluntary non-profit - Other,Acute Care Hospitals,"45 W 111TH STREET CHICAGO, IL 60628 (41.692562, -87.624734)",True,Same as the national average,,Below the national average,,(773) 995-3000,140068,Below the national average,,Not Available,5,IL,Below the national average,,60628
1,5645 W ADDISON STREET,CHICAGO,COOK,Same as the national average,,Same as the national average,,True,COMMUNITY FIRST MEDICAL CENTER,1,,Voluntary non-profit - Private,Acute Care Hospitals,"5645 W ADDISON STREET CHICAGO, IL 60634 (41.94585, -87.768287)",True,Same as the national average,,Below the national average,,(773) 282-7000,140251,Below the national average,,Above the national average,,IL,Same as the national average,,60634
1,333 N MADISON ST,JOLIET,WILL,Below the national average,,Same as the national average,,True,PRESENCE SAINT JOSEPH MEDICAL CENTER,1,,Voluntary non-profit - Church,Acute Care Hospitals,"333 N MADISON ST JOLIET, IL 60435 (41.528248, -88.134645)",True,Same as the national average,,Below the national average,,(815) 725-7133,140007,Below the national average,,Below the national average,,IL,Below the national average,,60435
1,1 GOOD SAMARITAN WAY,MOUNT VERNON,JEFFERSON,Same as the national average,,Below the national average,,True,GOOD SAMARITAN REGIONAL HLTH CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,"1 GOOD SAMARITAN WAY MOUNT VERNON, IL 62864 (38.3149, -88.93)",True,Same as the national average,,Same as the national average,,(618) 899-1469,140046,Below the national average,,Below the national average,,IL,Same as the national average,,62864
1,901 S GRANT STREET,HARVARD,MC HENRY,Same as the national average,,Same as the national average,,True,MERCY HARVARD HOSPITAL,3,,Voluntary non-profit - Private,Critical Access Hospitals,"901 S GRANT STREET HARVARD, IL 60033 (42.425992, -88.607748)",True,Same as the national average,,Not Available,16,(815) 943-5431,141335,Same as the national average,,Not Available,16,IL,Above the national average,,60033
1,1000 N WESTMORELAND ROAD,LAKE FOREST,LAKE,Same as the national average,,Below the national average,,True,NORTHWESTERN LAKE FOREST HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,"1000 N WESTMORELAND ROAD LAKE FOREST, IL 60045 (42.259134, -87.866327)",True,Above the national average,,Above the national average,,(847) 234-5600,140130,Above the national average,,Below the national average,,IL,Same as the national average,,60045
1,2300 NORTH EDWARD STREET,DECATUR,MACON,Same as the national average,,Same as the national average,,True,DECATUR MEMORIAL HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,"2300 NORTH EDWARD STREET DECATUR, IL 62526 (39.866492, -88.960912)",True,Same as the national average,,Below the national average,,(217) 876-8121,140135,Below the national average,,Above the national average,,IL,Same as the national average,,62526
1,911 STACY BURK DRIVE,FLORA,CLAY,Same as the national average,,Not Available,5,True,CLAY COUNTY HOSPITAL,3,,Government - Local,Critical Access Hospitals,"911 STACY BURK DRIVE FLORA, IL 62839 (38.680917, -88.470337)",True,Same as the national average,,Not Available,16,(618) 662-2131,141351,Below the national average,,Not Available,16,IL,Same as the national average,,62839
1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,COOK,Same as the national average,,Same as the national average,,True,ALEXIAN BROTHERS MEDICAL CENTER 1,4,,Voluntary non-profit - Church,Acute Care Hospitals,"800 W BIESTERFIELD RD ELK GROVE VILLAGE, IL 60007 (42.003705, -88.014996)",True,Above the national average,,Below the national average,,(847) 437-5500,140258,Above the national average,,Same as the national average,,IL,Same as the national average,,60007
1,600 E 1ST ST,SPRING VALLEY,BUREAU,Above the national average,,Same as the national average,,True,ST MARGARETS HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"600 E 1ST ST SPRING VALLEY, IL 61362 (41.328409, -89.192633)",True,Same as the national average,,Above the national average,,(815) 664-1176,140143,Same as the national average,,Below the national average,,IL,Above the national average,,61362
1,2100 MADISON AVENUE,GRANITE CITY,MADISON,Same as the national average,,Below the national average,,True,GATEWAY REGIONAL MEDICAL CENTER,2,,Proprietary,Acute Care Hospitals,"2100 MADISON AVENUE GRANITE CITY, IL 62040 (38.700891, -90.144958)",True,Same as the national average,,Same as the national average,,(618) 798-3000,140125,Below the national average,,Same as the national average,,IL,Above the national average,,62040
1,200 STAHLHUT DRIVE,LINCOLN,LOGAN,Same as the national average,,Same as the national average,,True,ABRAHAM LINCOLN MEMORIAL HOSPITAL,4,,Voluntary non-profit - Private,Critical Access Hospitals,"200 STAHLHUT DRIVE LINCOLN, IL 62656 (40.152373, -89.388698)",,Same as the national average,,Above the national average,,(217) 732-2161,141322,Above the national average,,Same as the national average,,IL,Same as the national average,,62656
1,400 MAPLE SUMMIT ROAD,JERSEYVILLE,JERSEY,Same as the national average,,Same as the national average,,True,JERSEY COMMUNITY HOSPITAL,4,,Government - Local,Acute Care Hospitals,"400 MAPLE SUMMIT ROAD JERSEYVILLE, IL 62052 (39.109906, -90.341622)",,Same as the national average,,Above the national average,,(618) 498-6402,140059,Above the national average,,Not Available,5,IL,Same as the national average,,62052
1,1 INGALLS DRIVE,HARVEY,COOK,Same as the national average,,Same as the national average,,True,INGALLS MEMORIAL HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"1 INGALLS DRIVE HARVEY, IL 60426 (41.606331, -87.659484)",True,Above the national average,,Below the national average,,(708) 333-2300,140191,Below the national average,,Below the national average,,IL,Below the national average,,60426
1,1044 N FRANCISCO AVE,CHICAGO,COOK,Same as the national average,,Not Available,5,True,NORWEGIAN-AMERICAN HOSPITAL,1,,Voluntary non-profit - Private,Acute Care Hospitals,"1044 N FRANCISCO AVE CHICAGO, IL 60622 (41.900481, -87.699288)",True,Same as the national average,,Below the national average,,(773) 292-8200,140206,Below the national average,,Below the national average,,IL,Below the national average,,60622
1,3333 W DEYOUNG,MARION,WILLIAMSON,Above the national average,,Same as the national average,,True,HEARTLAND REGIONAL MEDICAL CENTER,3,,Proprietary,Acute Care Hospitals,"3333 W DEYOUNG MARION, IL 62959 (37.744891, -88.988848)",True,Same as the national average,,Same as the national average,,(618) 998-7000,140184,Above the national average,,Below the national average,,IL,Same as the national average,,62959
1,20733 N BROAD STREET,CARLINVILLE,MACOUPIN,Same as the national average,,Same as the national average,,True,CARLINVILLE AREA HOSPITAL,4,,Voluntary non-profit - Private,Critical Access Hospitals,"20733 N BROAD STREET CARLINVILLE, IL 62626 (39.299642, -89.88163)",True,Same as the national average,,Not Available,16,(217) 854-3141,141347,Same as the national average,,Not Available,16,IL,Same as the national average,,62626
1,525 EAST GRANT STREET,MACOMB,MC DONOUGH,Same as the national average,,Below the national average,,True,MC DONOUGH DISTRICT HOSPITAL,2,,Government - Hospital District or Authority,Acute Care Hospitals,"525 EAST GRANT STREET MACOMB, IL 61455 (40.447907, -90.66403)",True,Same as the national average,,Below the national average,,(309) 833-4101,140089,Same as the national average,,Below the national average,,IL,Same as the national average,,61455
1,2875 WEST 19TH STREET,CHICAGO,COOK,Same as the national average,,Same as the national average,,True,SAINT ANTHONY HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"2875 WEST 19TH STREET CHICAGO, IL 60623 (41.855538, -87.698272)",True,Same as the national average,,Below the national average,,(773) 521-1710,140095,Below the national average,,Above the national average,,IL,Below the national average,,60623
1,836 WEST WELLINGTON AVENUE,CHICAGO,COOK,Same as the national average,,Same as the national average,,True,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,"836 WEST WELLINGTON AVENUE CHICAGO, IL 60657 (41.936315, -87.651554)",True,Same as the national average,,Same as the national average,,(773) 975-1600,140182,Above the national average,,Below the national average,,IL,Same as the national average,,60657
1,107 TREMONT STREET,HOPEDALE,TAZEWELL,Not Available,5,Not Available,5,True,HOPEDALE HOSPITAL,5,,Voluntary non-profit - Private,Critical Access Hospitals,"107 TREMONT STREET HOPEDALE, IL 61747 (40.418383, -89.417729)",,Not Available,5,Above the national average,,(309) 449-4296,141330,Same as the national average,,Not Available,5,IL,Above the national average,,61747
1,200 S CEDAR ST,SHELBYVILLE,SHELBY,Same as the national average,,Same as the national average,,True,HSHS GOOD SHEPHERD HOSPITAL INC,3,,Voluntary non-profit - Private,Acute Care Hospitals,"200 S CEDAR ST SHELBYVILLE, IL 62565 (39.405801, -88.807113)",True,Same as the national average,,Not Available,16,(217) 774-3961,140019,Below the national average,,Not Available,5,IL,Above the national average,,62565
1,801 S MILWAUKEE AVE,LIBERTYVILLE,LAKE,Same as the national average,,Above the national average,,True,ADVOCATE CONDELL MEDICAL CENTER,4,,Voluntary non-profit - Private,Acute Care Hospitals,"801 S MILWAUKEE AVE LIBERTYVILLE, IL 60048 (42.274563, -87.95165)",True,Same as the national average,,Same as the national average,,(847) 362-2900,140202,Above the national average,,Above the national average,,IL,Same as the national average,,60048
1,6800 STATE ROUTE 162,MARYVILLE,MADISON,Same as the national average,,Same as the national average,,True,ANDERSON HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"6800 STATE ROUTE 162 MARYVILLE, IL 62062 (38.738127, -89.946422)",True,Same as the national average,,Above the national average,,(618) 288-5711,140289,Above the national average,,Same as the national average,,IL,Same as the national average,,62062
1,101 E NINTH STREET,PANA,CHRISTIAN,Not Available,5,Same as the national average,,True,PANA COMMUNITY HOSPITAL,3,,Voluntary non-profit - Private,Critical Access Hospitals,"101 E NINTH STREET PANA, IL 62557 (39.380296, -89.084213)",,Same as the national average,,Not Available,16,(217) 562-2131,141341,Same as the national average,,Not Available,16,IL,Not Available,16,62557
1,5666 EAST STATE STREET,ROCKFORD,WINNEBAGO,Same as the national average,,Same as the national average,,True,SAINT ANTHONY MEDICAL CENTER,2,,Voluntary non-profit - Church,Acute Care Hospitals,"5666 EAST STATE STREET ROCKFORD, IL 61108 (42.265778, -89.0073)",True,Same as the national average,,Below the national average,,(815) 226-2000,140233,Below the national average,,Above the national average,,IL,Same as the national average,,61108
1,645 SOUTH CENTRAL AVE,CHICAGO,COOK,Same as the national average,,Not Available,5,True,LORETTO HOSPITAL,2,,Voluntary non-profit - Other,Acute Care Hospitals,"645 SOUTH CENTRAL AVE CHICAGO, IL 60644 (41.872042, -87.764443)",True,Same as the national average,,Not Available,16,(773) 626-4300,140083,Below the national average,,Below the national average,,IL,Below the national average,,60644
1,238 SOUTH CONGRESS STREET,RUSHVILLE,SCHUYLER,Not Available,5,Not Available,16,True,SARAH D CULBERTSON MEMORIAL HOSPITAL,Not Available,16,Government - Hospital District or Authority,Critical Access Hospitals,"238 SOUTH CONGRESS STREET RUSHVILLE, IL 62681 (40.117944, -90.563587)",True,Not Available,5,Not Available,16,(217) 322-4321,141333,Same as the national average,,Not Available,16,IL,Not Available,16,62681
1,303 N JACKSON STREET,MORRISON,WHITESIDE,Same as the national average,,Not Available,5,True,MORRISON COMMUNITY HOSPITAL,Not Available,16,Government - Hospital District or Authority,Critical Access Hospitals,"303 N JACKSON STREET MORRISON, IL 61270 (41.809131, -89.956574)",,Not Available,16,Not Available,16,(815) 772-4003,141329,Not Available,5,Not Available,16,IL,Same as the national average,,61270
1,1000 MEDICAL CENTER DRIVE,MONTICELLO,PIATT,Not Available,5,Not Available,16,True,KIRBY MEDICAL CENTER,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"1000 MEDICAL CENTER DRIVE MONTICELLO, IL 61856 (40.060163, -88.56377)",True,Not Available,5,Not Available,16,(217) 762-2115,141301,Not Available,5,Not Available,16,IL,Not Available,5,61856
1,500 E 51ST ST,CHICAGO,COOK,Same as the national average,,Not Available,5,True,PROVIDENT HOSPITAL OF CHICAGO,Not Available,16,Government - Local,Acute Care Hospitals,"500 E 51ST ST CHICAGO, IL 60615 (41.802158, -87.614193)",True,Not Available,16,Not Available,16,(312) 572-2000,140300,Not Available,5,Not Available,5,IL,Below the national average,,60615
1,2615 W WASHINGTON ST,WAUKEGAN,LAKE,Same as the national average,,Not Available,5,True,LAKE BEHAVIORAL HOSPITAL,Not Available,16,Proprietary,Acute Care Hospitals,"2615 W WASHINGTON ST WAUKEGAN, IL 60085 (42.359402, -87.866605)",,Not Available,16,Not Available,16,(847) 249-3900,140033,Not Available,16,Not Available,16,IL,Same as the national average,,60085
1,422 W WHITE ST,CLINTON,DE WITT,Not Available,5,Same as the national average,,True,WARNER HOSPITAL AND HEALTH SERVICES,Not Available,16,Government - Local,Critical Access Hospitals,"422 W WHITE ST CLINTON, IL 61727 (40.148953, -88.964616)",True,Not Available,5,Not Available,16,(217) 935-9571,141303,Same as the national average,,Not Available,16,IL,Not Available,16,61727
1,800 SCHOOL ST,CARROLLTON,GREENE,Not Available,5,Not Available,16,True,THOMAS H BOYD MEMORIAL HOSPITAL,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"800 SCHOOL ST CARROLLTON, IL 62016 (39.29617, -90.412303)",True,Not Available,5,Not Available,16,(217) 942-6946,141300,Same as the national average,,Not Available,16,IL,Not Available,16,62016
1,1 MEDICAL CENTER DRIVE,GALENA,JO DAVIESS,Not Available,5,Not Available,16,True,MIDWEST MEDICAL CENTER,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"1 MEDICAL CENTER DRIVE GALENA, IL 61036 (42.446622, -90.456972)",True,Not Available,16,Not Available,16,(815) 777-1340,141302,Not Available,5,Not Available,16,IL,Not Available,5,61036
1,705 S GRAND AVE,NASHVILLE,WASHINGTON,Same as the national average,,Same as the national average,,True,WASHINGTON COUNTY HOSPITAL*,Not Available,16,Government - Hospital District or Authority,Critical Access Hospitals,"705 S GRAND AVE NASHVILLE, IL 62263 (38.339118, -89.390016)",True,Not Available,5,Not Available,16,(618) 327-8236,141308,Not Available,5,Not Available,16,IL,Same as the national average,,62263
1,701 EAST ORANGE STREET,HOOPESTON,VERMILION,Not Available,5,Not Available,5,True,HOOPESTON COMMUNITY MEMORIAL HOSPITAL,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"701 EAST ORANGE STREET HOOPESTON, IL 60942 (40.459188, -87.660086)",,Same as the national average,,Not Available,16,(217) 283-5531,141316,Same as the national average,,Not Available,16,IL,Not Available,16,60942
1,409 NW 9TH AVENUE,ALEDO,MERCER,Same as the national average,,Not Available,5,True,"GENESIS MEDICAL CENTER, ALEDO",Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"409 NW 9TH AVENUE ALEDO, IL 61231 (41.20508, -90.758485)",True,Not Available,5,Not Available,16,(309) 582-9100,141304,Not Available,5,Not Available,16,IL,Above the national average,,61231
1,1201 PINE STREET,ELDORADO,SALINE,Not Available,5,Not Available,5,True,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"1201 PINE STREET ELDORADO, IL 62930 (37.815332, -88.441451)",True,Same as the national average,,Not Available,16,(618) 273-3361,141324,Same as the national average,,Not Available,16,IL,Not Available,16,62930
1,400 N CALDWELL ST,STAUNTON,MACOUPIN,Not Available,5,Not Available,16,True,COMMUNITY MEMORIAL HOSPITAL,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"400 N CALDWELL ST STAUNTON, IL 62088 (39.015339, -89.78989)",True,Not Available,5,Not Available,16,(618) 635-2200,141306,Same as the national average,,Not Available,5,IL,Not Available,16,62088
1,2200 STATE ST,LAWRENCEVILLE,LAWRENCE,Not Available,5,Not Available,16,True,LAWRENCE COUNTY MEMORIAL HOSPITAL,4,17,Voluntary non-profit - Private,Critical Access Hospitals,"2200 STATE ST LAWRENCEVILLE, IL 62439 (38.729518, -87.69415)",True,Same as the national average,,Same as the national average,,(618) 943-1000,141344,Same as the national average,,Not Available,16,IL,Not Available,16,62439
1,900 N 2ND ST,ROCHELLE,OGLE,Not Available,16,Not Available,16,True,ROCHELLE COMMUNITY HOSPITAL,4,17,Voluntary non-profit - Private,Critical Access Hospitals,"900 N 2ND ST ROCHELLE, IL 61068 (41.928573, -89.062801)",True,Same as the national average,,Above the national average,,(815) 562-2181,141312,Same as the national average,,Not Available,5,IL,Not Available,16,61068
1,611 S MARSHALL AVENUE,MCLEANSBORO,HAMILTON,Not Available,5,Not Available,16,True,HAMILTON MEMORIAL HOSPITAL DISTRICT,2,17,Government - Hospital District or Authority,Critical Access Hospitals,"611 S MARSHALL AVENUE MCLEANSBORO, IL 62859 (38.087916, -88.541234)",,Same as the national average,,Below the national average,,(618) 643-2361,141326,Below the national average,,Not Available,16,IL,Not Available,5,62859
1,1000 NORTH ALLEN STREET,ROBINSON,CRAWFORD,Same as the national average,,Not Available,16,True,CRAWFORD MEMORIAL HOSPITAL,4,17,Government - Hospital District or Authority,Critical Access Hospitals,"1000 NORTH ALLEN STREET ROBINSON, IL 62454 (39.013668, -87.748999)",True,Same as the national average,,Above the national average,,(618) 544-3131,141343,Above the national average,,Not Available,5,IL,Not Available,5,62454
1,1051 WEST SOUTH STREET,KEWANEE,HENRY,Same as the national average,,Not Available,16,True,OSF SAINT LUKES MEDICAL CENTER,3,17,Voluntary non-profit - Church,Critical Access Hospitals,"1051 WEST SOUTH STREET KEWANEE, IL 61443 (41.222163, -89.947769)",True,Same as the national average,,Not Available,16,(309) 853-3361,141325,Same as the national average,,Not Available,16,IL,Not Available,5,61443
1,7TH AND TAYLOR,VANDALIA,FAYETTE,Not Available,5,Not Available,16,True,FAYETTE COUNTY HOSPITAL,3,17,Voluntary non-profit - Other,Critical Access Hospitals,"7TH AND TAYLOR VANDALIA, IL 62471",,Same as the national average,,Above the national average,,(618) 283-1231,141346,Below the national average,,Not Available,16,IL,Not Available,16,62471
1,E 65TH ST AT LAKE MICHIGAN,CHICAGO,COOK,Not Available,19,Not Available,19,False,LARABIDA CHILDRENS HOSPITAL I,Not Available,19,Voluntary non-profit - Private,Childrens,"E 65TH ST AT LAKE MICHIGAN CHICAGO, IL 60649",,Not Available,19,Not Available,19,(773) 363-6700,143301,Not Available,19,Not Available,19,IL,Not Available,19,60649
1,520 N RIDGEWAY AVE,CHICAGO,COOK,Not Available,19,Not Available,19,False,GARFIELD PARK HOSPITAL,Not Available,19,Proprietary,Psychiatric,"520 N RIDGEWAY AVE CHICAGO, IL 60624 (41.890512, -87.719833)",,Not Available,19,Not Available,19,(773) 265-3700,144039,Not Available,19,Not Available,19,IL,Not Available,19,60624
1,1000 N MAIN ST,ANNA,UNION,Not Available,19,Not Available,19,False,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,Not Available,19,Government - State,Psychiatric,"1000 N MAIN ST ANNA, IL 62906 (37.47601, -89.24487)",,Not Available,19,Not Available,19,(618) 833-5161,144038,Not Available,19,Not Available,19,IL,Not Available,19,62906
1,8311 WEST ROOSEVELT ROAD,FOREST PARK,COOK,Not Available,19,Not Available,19,False,RIVEREDGE HOSPITAL,Not Available,19,Proprietary,Psychiatric,"8311 WEST ROOSEVELT ROAD FOREST PARK, IL 60130 (41.864556, -87.82862)",,Not Available,19,Not Available,19,(708) 771-7000,144009,Not Available,19,Not Available,19,IL,Not Available,19,60130
1,1200 S FIRST AVE,HINES,COOK,Not Available,19,Not Available,19,False,JOHN J MADDEN MENTAL HEALTH CENTER,Not Available,19,Government - State,Psychiatric,"1200 S FIRST AVE HINES, IL 60141 (41.877233, -87.833909)",,Not Available,19,Not Available,19,(708) 531-7202,144028,Not Available,19,Not Available,19,IL,Not Available,19,60141
1,4200 N OAK PARK AVE,CHICAGO,COOK,Not Available,19,Not Available,19,False,CHICAGO-READ MENTAL HEALTH CENTER,Not Available,19,Government - State,Psychiatric,"4200 N OAK PARK AVE CHICAGO, IL 60634 (41.95612, -87.797265)",,Not Available,19,Not Available,19,(773) 794-4000,144010,Not Available,19,Not Available,19,IL,Not Available,19,60634
1,4500 COLLEGE AVENUE,ALTON,MADISON,Not Available,19,Not Available,19,False,ALTON MENTAL HEALTH CENTER,Not Available,19,Government - State,Psychiatric,"4500 COLLEGE AVENUE ALTON, IL 62002 (38.909042, -90.116239)",,Not Available,19,Not Available,19,(618) 474-3800,144016,Not Available,19,Not Available,19,IL,Not Available,19,62002
1,5730 W ROOSEVELT ROAD,CHICAGO,COOK,Not Available,19,Not Available,19,False,HARTGROVE HOSPITAL,Not Available,19,Proprietary,Psychiatric,"5730 W ROOSEVELT ROAD CHICAGO, IL 60644 (41.865559, -87.767793)",,Not Available,19,Not Available,19,(773) 413-1700,144026,Not Available,19,Not Available,19,IL,Not Available,19,60644
1,"225 E CHICAGO AVE, BOX 140",CHICAGO,COOK,Not Available,19,Not Available,19,True,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,Not Available,19,Voluntary non-profit - Private,Childrens,"225 E CHICAGO AVE, BOX 140 CHICAGO, IL 60611 (41.896746, -87.621906)",,Not Available,19,Not Available,19,(312) 227-4000,143300,Not Available,19,Not Available,19,IL,Not Available,19,60611
1,809 W CHURCH ST,CHAMPAIGN,CHAMPAIGN,Not Available,19,Not Available,19,False,"PAVILION FOUNDATION, THE",Not Available,19,Proprietary,Psychiatric,"809 W CHURCH ST CHAMPAIGN, IL 61820 (40.11826, -88.257263)",,Not Available,19,Not Available,19,(217) 373-1700,144029,Not Available,19,Not Available,19,IL,Not Available,19,61820
1,901 SOUTHWIND RD,SPRINGFIELD,SANGAMON,Not Available,19,Not Available,19,False,ANDREW MCFARLAND MENTAL HLTH CTR,Not Available,19,Government - State,Psychiatric,"901 SOUTHWIND RD SPRINGFIELD, IL 62703 (39.728305, -89.642409)",,Not Available,19,Not Available,19,(217) 786-6900,144021,Not Available,19,Not Available,19,IL,Not Available,19,62703
1,852 S WEST STREET,NAPERVILLE,DU PAGE,Not Available,19,Not Available,19,False,LINDEN OAKS HOSPITAL,Not Available,19,Voluntary non-profit - Private,Psychiatric,"852 S WEST STREET NAPERVILLE, IL 60540 (41.758707, -88.157992)",,Not Available,19,Not Available,19,(630) 305-5500,144035,Not Available,19,Not Available,19,IL,Not Available,19,60540
1,1650 MOON LAKE BLVD,HOFFMAN ESTATES,COOK,Not Available,19,Not Available,19,False,ALEXIAN BROTHERS BEHAVIORAL HLTH HOSP,Not Available,19,Voluntary non-profit - Church,Psychiatric,"1650 MOON LAKE BLVD HOFFMAN ESTATES, IL 60169 (42.053755, -88.136059)",,Not Available,19,Not Available,19,(847) 882-1600,144031,Not Available,19,Not Available,19,IL,Not Available,19,60169
1,1400 E IRVING PARK ROAD,STREAMWOOD,COOK,Not Available,19,Not Available,19,True,BHC STREAMWOOD HOSPITAL INC,Not Available,19,Proprietary,Psychiatric,"1400 E IRVING PARK ROAD STREAMWOOD, IL 60107 (42.007928, -88.152762)",,Not Available,19,Not Available,19,(630) 837-9000,144034,Not Available,19,Not Available,19,IL,Not Available,19,60107
