Number of Records,Agency Name,American Indian Or Alaska Native Beneficiaries,Asian Pacific Islander Beneficiaries,Average Age,Average Hcc Score,Average Number Of Home Health Aide Visits Per Episode Non Lupa,Average Number Of Medical Social Visits Per Episode Non Lupa,Average Number Of Ot Visits Per Episode Non Lupa,Average Number Of Pt Visits Per Episode Non Lupa,Average Number Of Skilled Nursing Visits Per Episode Non Lupa,Average Number Of St Visits Per Episode Non Lupa,Average Number Of Total Visits Per Episode Non Lupa,Black Beneficiaries,City,Distinct Beneficiaries Non Lupa,Dua Beneficiaries,Female Beneficiaries,Hispanic Beneficiaries,Male Beneficiaries,Nondual Beneficiaries,Other Unknown Beneficiaries,Outlier Payments As A Percent Of Medicare Payment Amount Non Lupa,Percent Of Beneficiaries With Alzheimers,Percent Of Beneficiaries With Asthma,Percent Of Beneficiaries With Atrial Fibrillation,Percent Of Beneficiaries With Cancer,Percent Of Beneficiaries With Chf,Percent Of Beneficiaries With Chronic Kidney Disease,Percent Of Beneficiaries With Copd,Percent Of Beneficiaries With Depression,Percent Of Beneficiaries With Diabetes,Percent Of Beneficiaries With Hyperlipidemia,Percent Of Beneficiaries With Hypertension,Percent Of Beneficiaries With Ihd,Percent Of Beneficiaries With Osteoporosis,Percent Of Beneficiaries With Ra Oa,Percent Of Beneficiaries With Schizophrenia,Percent Of Beneficiaries With Stroke,Provider Id,State,Street Address,Total Episodes Non Lupa,Total Hha Charge Amount Non Lupa,Total Hha Medicare Payment Amount For Lupas,Total Hha Medicare Payment Amount Non Lupa,Total Hha Medicare Standard Payment Amount Non Lupa,Total Lupa Episodes,White Beneficiaries,Zip Code
1,HEALTHY AT HOME CAROLINAS MEDICAL CENTER,0,37,74,2.16,1,0.2,1.1,4.4,7.1,0.3,14,739,CHARLOTTE,2177,686,1334,52,843,1491,16,0.1,23,15,21,14,41,52,32,34,48,66,,44,14,49,10,14,347112,NC,4701 HEDGEMORE DRIVE  SUITE 300,2832,5136497,142807,7541804,7995630,388,1333,28209
1,ADVANCED HOME CARE,,,74,2.18,0.7,0.3,1.6,5,8.2,0.3,15.9,101,SALISBURY,702,186,432,12,270,516,,0.1,19,15,23,17,41,48,39,40,47,65,,47,13,53,9,16,347116,NC,1406-B WEST INNES STREET,991,2583114,39588,2601230,2963094,123,575,28144
1,ADVANCED HOME CARE,0,,74,2.23,1.5,0.2,1.5,6,7.1,0.4,16.7,174,REIDSVILLE,872,313,555,,317,559,,0,26,13,23,13,45,46,41,34,47,62,,49,13,60,10,13,347121,NC,8380 NC 87,1242,3313423,42298,3354043,3916673,143,688,27320
1,ADVANCED HOME CARE,,20,74,2.34,1.2,0.3,1.4,6,7.4,0.3,16.3,532,HIGH POINT,2155,619,1297,30,858,1536,,0.3,23,14,22,17,42,53,35,41,48,67,,46,14,47,7,13,347125,NC,4001 PIEDMONT PARKWAY,3014,8043624,144923,8130115,9487485,443,1556,27265
1,CAROLINA EAST HOME CARE,0,0,74,1.89,0.8,0,0.3,3.5,7,0.1,11.3,80,NEW BERN,369,61,205,,164,308,,0,16,17,21,20,34,46,35,32,45,73,,46,13,70,5,11,347130,NC,1300 HELEN AVENUE,448,658200,32239,1036238,1193140,109,284,28560
1,GENTIVA HEALTH SERVICES/CHARLO,,,74,1.7,0.3,0.1,1.3,7.3,6.2,0.3,15.5,297,CHARLOTTE,952,213,635,,317,739,12,0.1,26,11,16,13,27,37,19,32,36,62,,31,16,67,10,9,347177,NC,8520 CLIFF CAMERON DRIVE STE 140,1226,3506142,50176,3636257,3913228,144,625,28269
1,SENTARA HOME CARE SERVICES,0,,74,1.74,1.1,0,1.3,4.5,6.7,0.1,13.5,77,ELIZABETH CITY,433,70,239,,194,363,,0.6,20,15,21,11,33,41,29,25,46,68,,50,7,58,6,14,347202,NC,300 EAST CHURCH STREET,543,1176462,31934,1339422,1510924,93,351,27909
1,VIDANT HOME HEALTH AND HOSPICE,0,0,74,2.36,1.7,0.1,2.8,4.6,6.1,0,15.3,101,WINDSOR,165,87,114,,51,78,,0,32,17,20,13,45,54,25,22,48,59,,43,5,53,10,19,347218,NC,304 GRANVILLE ST.,234,479483,17960,621334,716420,56,63,27983
1,UNC HOME HEALTH,0,11,74,2.28,0.6,0.1,1.4,5.5,5.8,0.2,13.6,132,CHAPEL HILL,561,139,324,,237,422,,0,25,13,26,18,41,48,27,44,41,57,,52,13,58,5,12,347223,NC,1101 WEAVER DAIRY ROAD SUITE 100,684,1622721,45252,1958527,2071867,115,404,27514
1,ASSISTEDCARE HOME HEALTH INC,,,74,1.96,1,0.3,1.6,4.1,8,0.3,15.3,287,LELAND,1225,425,710,15,515,800,11,0.2,28,12,21,13,39,46,31,38,47,74,,50,12,54,10,14,347224,NC,"1003 OLD WATERFORD WAY, STE 1-B",1633,3945020,56969,4081118,4598763,189,907,28451
1,"LIBERTY HOME CARE, LLC",,,74,1.73,0.5,0.1,1.9,7.3,3.2,0.3,13.2,121,RALEIGH,461,108,283,,178,353,,0,23,16,18,16,32,41,22,31,37,64,,40,12,67,9,10,347239,NC,3200 SPRING FOREST ROAD SUITE 201,507,1087469,24822,1454983,1560344,64,319,27616
1,LIBERTY HOME CARE,,,74,2.12,1,0.1,0.3,3.7,7.2,0.2,12.5,189,WHITEVILLE,593,275,368,0,225,318,,0.1,33,16,20,13,46,50,36,32,53,,,58,13,64,9,14,347248,NC,46 MCNEILL PLAZA,883,1765610,44803,1916012,2209498,142,387,28472
1,SOUTHWEST REGIONAL MEDICAL CENTER- HOME CARE,0,,74,2.3,2.8,0,1.5,3.9,10.9,0,19.1,,GEORGETOWN,247,100,148,0,99,147,0,1.9,24,21,25,14,55,51,45,47,54,68,,65,9,60,9,11,367118,OH,425 HOME STREET,528,1260203,22644,1411057,1502150,66,242,45121
1,CARETENDERS VNA,0,,74,2.1,2.2,0.2,1.2,6.1,9.2,0.1,18.5,16,LANCASTER,672,215,391,,281,457,,1.5,25,9,22,14,42,46,35,40,46,65,,58,11,57,10,11,367137,OH,1231 EAST MAIN STREET,1058,2883214,54900,3025674,3155732,141,646,43130
1,FIDELITY HEALTH CARE,,25,74,2.05,0.8,0.4,1.2,3.5,8.8,0.1,14.5,600,DAYTON,3996,993,2394,,1602,3003,29,0.3,18,17,22,16,41,44,41,42,46,68,,54,10,51,7,12,367160,OH,3832 KETTERING BOULEVARD,5970,17352471,211245,15952629,17406543,580,3323,45439
1,APPALACHIAN COMMUNITY VNA HOSPICE & HEALTH SERVICE,0,0,74,2.15,2.1,0.2,0.8,4.4,7.7,0.1,15.3,,ATHENS,226,89,131,,95,137,0,0.6,24,10,20,17,44,40,46,48,45,62,,62,10,62,8,8,367200,OH,30 HERROLD AVENUE,321,612424,24340,788948,882634,74,223,45701
1,CMH HOME HEALTH CARE,0,,74,2.07,1.5,0.3,2,4.5,7.9,0.2,16.4,,WILMINGTON,271,87,173,0,98,184,,0.2,22,10,22,13,47,52,41,34,46,61,,58,11,43,7,10,367240,OH,2241 ROMBACH AVENUE,355,1919472,29457,902615,1009251,78,263,45177
1,CARETENDERS VNA,0,0,74,2.29,0.8,0.3,1.5,6.5,7.2,0,15.9,,WASHINGTON CH,148,64,99,0,49,84,,0.9,22,9,26,15,45,52,36,47,58,65,,60,11,57,8,8,367269,OH,"1450 COLUMBUS AVENUE, SUITE 102",197,479339,13318,518902,578107,38,140,43160
1,MARION GENERAL HOSPITAL HOME HEALTH,0,0,74,2.18,3.2,0.1,0.7,5.5,8.6,0,18.2,14,MARION,439,111,252,,187,328,,1.1,22,17,24,14,50,50,46,39,46,67,,62,13,63,12,7,367284,OH,278 BARKS ROAD WEST,640,1444452,30102,1635712,1819913,85,420,43302
1,ST RITA'S HOME HEALTH/LVNA,0,0,74,2.44,2.4,0.3,2.2,4.4,11.1,0.3,20.1,46,LIMA,539,126,288,,251,413,,2.4,17,11,24,15,50,54,45,33,49,69,,71,11,50,9,13,367417,OH,959 WEST NORTH STREET,888,2919994,33404,2369679,2539018,95,482,45805
1,HM HOME CARE,,,74,2.41,0.6,0.1,1.9,3.4,7.4,0.3,13.4,146,GIRARD,1026,291,604,29,422,735,,0.7,22,19,26,16,50,51,39,37,48,69,,58,11,57,7,15,367518,OH,"979 TIBBETTS-WICK ROAD, SUITE A",1333,2714095,64099,3167528,3666104,170,842,44420
1,"FIRST CHOICE HOME HEALTH OF OHIO, INC",0,,74,2.6,3.6,0,1.2,5,12.9,0.2,23,128,MANSFIELD,636,278,399,28,237,358,,6.8,36,17,19,9,49,50,38,51,52,64,,55,16,60,19,15,367784,OH,1227 PARK AVENUE WEST,1106,3018678,46291,3393107,3485009,139,474,44906
1,"CAMBRIDGE HOME HEALTH CARE, INC",0,0,74,1.92,1.4,0,1.9,6.6,9.3,0,19.1,,MANSFIELD,197,71,131,,66,126,,1.1,24,10,18,14,38,42,33,41,52,63,,48,14,62,9,15,368155,OH,"780 PARK AVENUE WEST, SUITE B",269,572795,15564,747771,839039,45,185,44906
1,PINNACLE SENIOR CARE,,,74,2.32,2.4,0.1,1.1,3.1,9.2,0,16,178,CINCINNATI,558,311,365,,193,247,,0.2,37,13,15,6,53,55,46,41,58,58,,46,12,69,10,10,368210,OH,2100 SHERMAN AVENUE,1648,3868959,27843,4096041,4379944,94,368,45212
1,"OHIOANS HOME HEALTHCARE, INC",,,74,2.84,2.4,0.1,1.2,4.1,18.7,0.3,26.8,125,TOLEDO,818,396,512,24,306,422,,9.2,33,22,21,11,50,50,42,55,57,63,,58,14,65,17,12,368247,OH,"5640 SOUTHWYCK BLVD, SUITE 2",1829,9480111,54720,5838152,5886570,169,655,43614
1,"PATRIOT HOMECARE, INC",0,0,74,3.33,3.4,0.1,2.1,10,7.8,0.2,23.7,25,WARREN,172,62,84,,88,110,,1.5,27,6,23,15,51,53,42,45,53,61,,62,10,70,10,13,368406,OH,"418 MAIN AVENUE, SW, SUITE 203, ROOM 106",272,965732,12052,948221,1091130,42,140,44481
1,GENTIVA HEALTH SERVICES-HUGO,17,0,74,2.03,7.5,0,0.5,3.1,10.4,0.2,21.7,34,HUGO,212,134,139,,73,78,,1.6,26,13,14,11,67,41,47,41,51,66,,75,12,67,5,11,377146,OK,804 EAST JACKSON,632,2753948,17590,1481468,1749900,64,159,74743
1,RESTORE HOME HEALTHCARE OF OKLAHOMA,63,,74,1.43,7.3,0,0.4,4.4,6.3,0.2,18.5,43,MUSKOGEE,572,127,352,,220,445,,0.1,21,14,13,10,31,31,26,40,38,65,,51,10,,5,9,377195,OK,124 SOUTH 4TH STREET,1176,2269612,11566,2680211,3188464,43,452,74401
1,ASPIRE HOME CARE I,147,0,74,2.13,2.5,0.1,0.5,7.9,8.4,0,19.4,36,TISHOMINGO,1017,449,641,,376,568,,0.6,29,16,18,12,52,38,45,55,45,61,,67,17,,11,10,377568,OK,880 EAST MAIN,3627,9139747,48653,10174696,12125730,171,823,73460
1,ENCOMPASS HOME HEALTH OF NORTHEAST OKLAHOMA,189,,74,1.83,2.5,0.1,0.7,3.5,11.4,0.5,18.7,165,TULSA,1813,498,1141,21,672,1315,,6.6,27,14,17,10,40,43,34,55,43,58,,54,17,70,7,11,377572,OK,"5800 E SKELLY DRIVE, SUITE 1200",4265,16336376,73630,12291013,13622100,237,1419,74114
1,OKLAHOMA HEALTHCARE SOLUTIONS V I I I,61,0,74,2.17,8.2,0,0.1,2.6,8.8,0.1,19.8,21,MCALESTER,412,194,270,,142,218,,0.8,32,14,19,10,49,37,42,52,45,58,,67,13,67,9,11,377629,OK,"315 E WYANDOTTE, STE B",1462,4096468,46845,2968560,3532562,155,324,74501
1,AMEDISYS HOME HEALTH,54,,74,2.09,1.5,0.4,1.9,6.3,7.9,1.1,19.1,42,OKLAHOMA CITY,685,203,434,,251,482,,0.6,26,13,19,11,44,41,39,41,43,51,,56,12,61,14,11,377642,OK,"14201 CALIBER DRIVE, SUITE 110",1331,4448336,36162,4078047,4598308,115,574,73134
1,CARTER HEALTHCARE AND HOSPICE,44,,74,1.58,0,0,0.2,4.9,6.7,0,11.8,11,ARDMORE,321,109,212,,109,212,0,0.5,29,9,19,9,41,29,42,59,41,60,,57,15,60,18,6,377676,OK,"217 N COMMERCE, SUITE G",1042,1930876,39257,2615998,3123358,133,261,73401
1,"SOONER HEALTH SERVICES, INC",103,,74,2.02,1.2,0,0.4,3.5,8.6,0.1,13.7,42,SULPHUR,887,258,496,15,391,629,,0.2,21,13,25,10,53,45,37,42,47,64,,69,8,59,12,9,377677,OK,"921 W 11TH STREET, SUITE 1",1837,3842304,32582,4216259,4865045,94,712,73086
1,FAYETTE HOME CARE,,0,74,1.83,2.2,0,1.4,3.6,11,0.2,18.5,21,LEMONT FURNACE,401,109,237,0,164,292,,1.1,20,12,20,15,35,43,34,32,48,64,,52,10,51,9,10,397134,PA,110 YOUNGSTOWN ROAD,605,1783804,34483,1437802,1610774,107,379,15456
1,PERSONAL TOUCH HC OF PA PITTS,0,,74,2.88,1.7,0.1,1.7,5.1,10.2,0.2,18.8,46,PITTSBURGH,275,89,158,,117,186,0,1.2,27,16,22,13,43,54,36,39,51,62,,54,12,60,7,15,397562,PA,"160 NORTH CRAIG STREET, OMEGA BLDG, SUITE 118-120",426,1227888,31986,1119823,1254576,108,227,15213
1,VNA OF CENTRAL PA INC,0,,74,2.2,2.2,0.1,1.1,3.1,7.7,0.2,14.4,38,HARRISBURG,365,92,218,,147,273,,0.6,20,13,25,18,38,48,28,40,49,67,,53,11,45,7,12,397585,PA,3315 DERRY STREET,474,1018843,43481,1175403,1234811,124,310,17111
1,RESTA HOME HEALTH LLC,0,0,74,2.17,0.6,0,1.1,2.1,10.3,0.3,14.3,,NORTHERN CAMBRIA,427,213,246,,181,214,,0.5,36,11,20,11,47,43,40,42,48,58,,60,12,48,33,8,398023,PA,3901 BIGLER AVENUE,921,1830020,56510,2037358,2300189,190,417,15714
1,COMMUNITY NURSING AND HOME HEALTH,0,,74,2.02,1.1,0,1,3,9.3,0.1,14.7,,JOHNSTOWN,231,68,139,,92,163,0,0.1,24,14,21,13,37,45,35,39,44,65,,55,14,60,12,10,398043,PA,"2447 BEDFORD STREET, SUITE 101",304,724865,20555,705988,797672,64,226,15901
1,RYDER HOMECARE PROGRAM,0,0,74,2.01,0.6,0.1,0,6.1,8.5,0.2,15.5,0,HUMACAO,209,,112,208,97,,,0,26,8,4,7,26,35,11,8,58,36,,44,5,39,2,15,407005,PR,355 FONT MARTELO AVE,305,2025172,9889,524824,926213,53,,00791
1,ST LUKES HCP,0,0,74,2.19,3,0.2,0.4,4.7,7.9,0.4,16.5,0,GUAYAMA,122,,66,122,56,,0,0,20,7,2,6,26,28,10,6,59,24,,39,5,21,2,11,407303,PR,DERKER ST 66 OESTE ESQ MC ARTHUR,215,449791,13967,334610,633866,59,0,00784
1,AMEDISYS HOME HEALTH OF CHARLESTON,,14,74,2.47,1.1,0.2,2.9,4.8,7.7,0.5,17.3,424,NORTH CHARLESTON,1490,373,953,23,537,1117,,0.1,31,12,17,13,39,52,33,36,50,65,,47,12,53,9,14,427005,SC,2675 LAKE PARK DRIVE,2234,7000530,113081,6582513,7260232,315,1017,29406
1,MCLEOD HOME HEALTH  INC,,,74,2.1,1.9,0.4,0,7.2,5.2,0.6,15.2,650,FLORENCE,1782,504,1071,,711,1278,,0,24,11,16,14,43,50,31,29,53,69,,52,8,54,6,15,427057,SC,300 SOUTH DARGAN STREET,2182,6192005,100031,5719329,6761787,307,1121,29501
1,SC DHEC REGION 7 HOME HEALTH SERVICES,0,0,74,2.22,0.2,0,0.1,7.6,4.6,0,12.5,79,NORTH CHARLESTON,223,50,101,,122,173,,0,26,9,14,12,38,43,28,30,49,53,,46,4,46,4,10,427856,SC,4050 BRIDGEVIEW DRIVE SUITE 600,296,576171,20459,860107,965696,68,142,29405
1,DEACONESS HOMECARE,,0,74,2.16,3.7,0,1,5.3,6.9,0.5,17.2,22,FAYETTEVILLE,279,98,170,0,109,181,,0.1,30,11,19,11,42,46,41,34,46,53,,50,9,54,13,15,447109,TN,PO BOX 433,513,1596992,18098,1252732,1534972,67,254,37334
1,ADVANCED HOME CARE INC,,,74,2.02,1.3,0.1,1.8,5.2,6.9,0.7,16,13,KINGSPORT,679,200,405,,274,479,,0.1,27,13,20,15,42,48,42,45,46,59,,52,16,45,12,14,447183,TN,105 JACK WHITE DRIVE,964,2465155,43773,2297251,2978398,140,660,37664
1,VANDERBILT HOME CARE SERVICES,,,74,2.25,0.4,0.2,1,7,6,0.2,14.7,115,NASHVILLE,658,134,397,,261,524,14,0.1,23,13,22,14,39,48,22,39,37,57,,51,17,52,6,9,447249,TN,2120 BELCOURT AVE,980,2862882,77798,2924331,3173771,229,511,37232
1,SUNCREST HOME HEALTH,0,,74,2.18,1.1,0.2,2.7,6.9,6.1,0.4,17.2,31,CLARKSVILLE,393,135,251,,142,258,0,0,38,15,19,13,40,47,38,46,43,58,,56,15,58,17,10,447259,TN,286-A CLEAR SKY COURT,685,1773961,21220,2129120,2454002,62,358,37043
1,CAREALL HOMECARE SERVICES,,0,74,2.31,1.4,0,0.8,6.1,7.5,0,15.7,,COLUMBIA,146,75,95,,51,71,,0.1,36,8,18,12,58,51,46,45,49,57,,57,12,64,13,11,447271,TN,900 NASHVILLE HIGHWAY,287,630898,14586,711892,872546,52,136,38401
1,INTERIM HEALTH CARE OF EAST TENNESSEE,0,0,74,2.23,2.3,0.2,0,10,7.9,0.5,20.8,,MORRISTOWN,239,91,151,,88,148,,0.2,31,10,19,9,36,46,46,40,48,54,,57,11,62,10,9,447404,TN,2482 BRIGHTS PIKE,434,1707268,9709,1171063,1582601,38,228,37814
1,"ADVANCED HOME CARE, INC",0,0,74,2.06,2,0.1,1.8,8.2,7,0.9,19.9,,GREENEVILLE,245,80,148,,97,165,,0,18,11,20,16,47,43,42,41,46,58,,59,14,58,7,10,447417,TN,1012 COOLIDGE STREET,374,1190916,14726,1131500,1361085,53,235,37743
1,SANTA FE HEALTH CARE INC,0,,74,1.83,1.3,0.1,0.4,1.3,10.8,0.1,13.9,,BENAVIDES,396,212,247,275,149,184,,2.6,31,21,10,10,45,38,30,41,60,70,,66,20,59,6,8,453121,TX,119 WEST RAILROAD AVENUE,1299,2746520,13410,2599279,2969485,43,113,78341
1,GIRLING HOME HEALTH TEXAS BY HARDEN HEALTHCARE,0,,74,2.21,1.8,0.1,0.2,2.8,8.6,0.2,13.7,42,EASTLAND,1176,601,759,183,417,575,,1.6,26,13,14,9,47,38,38,43,48,53,,56,16,66,7,9,457128,TX,405 E COMMERCE ST,3491,8110639,108600,7614917,8840243,390,941,76448
1,HOME NURSING AND THERAPY SERVICES,0,,74,2.36,0.3,0.2,2.8,5.5,9.4,0.1,18.3,19,SAN ANTONIO,263,100,174,142,89,163,,0.6,33,22,14,10,41,51,23,37,62,,,62,14,52,12,12,457251,TX,921 MATAGORDA STREET,476,1522813,15011,1310677,1444438,45,98,78210
1,JORDAN HEALTH SERVICES,12,,74,2.24,0.6,0,0.9,3.2,9.2,0.2,14.1,410,MOUNT VERNON,1369,828,968,30,401,541,,0.5,29,15,16,10,54,42,44,46,51,63,,65,12,73,8,13,457507,TX,412 SOUTH HIGHWAY 37,4039,9466251,86315,9682897,11112558,287,913,75457
1,MAYS HOME HEALTH OF PARIS TX LLC,,,74,1.94,1.6,0,0.3,1.8,9.4,0,13.1,116,PARIS,492,255,315,,177,237,,0.3,30,17,11,10,52,34,44,55,47,,,66,17,65,10,11,457586,TX,385 STONE AVENUE,1699,3846607,19553,3522656,4185249,68,363,75460
1,GOOD SHEPHERD HOMECARE,,0,74,2,0.5,0.2,2.6,5.1,8.8,0.5,17.4,74,LONGVIEW,420,115,251,13,169,305,,0.6,29,12,15,12,44,44,42,32,45,55,,48,11,52,5,11,457691,TX,103 W LOOP 281 UNIT 480,955,3413203,29292,2728328,3078169,96,332,75605
1,TOTAL HOME HEALTH,0,,74,2.43,1.1,0.1,1.7,4.5,15.5,0.3,23.1,25,SAN ANTONIO,364,96,225,120,139,268,,8.9,38,17,15,7,40,48,30,49,51,68,,57,18,54,9,12,457928,TX,10010 SAN PEDRO SUITE #120,733,2351181,23114,2442658,2463126,64,212,78216
1,A 1 HOME HEALTH CARE,0,,74,3.92,2.9,0.1,1.1,5.1,10.4,0.2,19.9,23,PASADENA,214,91,126,74,88,123,,0.2,35,29,18,14,53,62,30,49,67,69,,66,15,65,9,16,457988,TX,1112 WITTER,620,1957171,11467,1920114,1958586,38,115,77506
1,AT HOME HEALTHCARE,,,74,2.25,0.9,0,0.9,4.3,8.3,0.3,14.7,164,HENDERSON,885,339,565,18,320,546,,0.2,28,15,19,13,47,47,42,49,49,66,,55,16,60,8,13,458072,TX,506 HWY 79 NORTH,2036,4957157,52391,5241929,6022619,178,700,75652
1,AMERICARE NURSING SERVICES,0,,74,2.73,0.4,0.1,1,2.6,12.7,0.2,16.9,0,SAN JUAN,273,205,169,243,104,68,,4.6,49,11,11,6,42,49,34,46,73,,,,21,,7,13,458302,TX,1103 NORTH RAUL LONGORIA ROAD,821,2183777,16345,2108579,2339186,49,27,78589
1,A*MED HOME HEALTH,0,,74,3.19,0.3,0,1,4.8,8.5,0.2,14.8,25,SAN ANTONIO,316,120,200,167,116,196,,0.6,37,12,15,15,45,56,24,40,57,67,,57,18,54,7,13,459393,TX,4903 GOLDEN QUAIL STE 110,544,1293811,27367,1377737,1516358,83,121,78240
1,FRIENDS HEALTH CARE SERVICES INC,0,,74,2.08,0.2,0,0,2.5,13.4,0,16.2,0,WESLACO,403,338,232,378,171,65,,9.1,27,9,6,6,24,38,23,29,74,,,70,22,68,4,7,459489,TX,401 S KANSAS AVENUE SUITE D,1509,4629628,13702,3395853,3747966,47,22,78596
1,INTERMOUNTAIN HOMECARE HOME HEALTH LOGAN,0,,74,1.53,4.6,0,0.3,6.4,6,0.1,17.4,0,LOGAN,171,35,108,,63,136,,2.1,11,13,16,13,24,38,13,37,36,48,73,34,19,58,6,11,467024,UT,550 EAST 1400 NORTH,225,648757,15993,586014,638677,44,158,84341
1,TOTAL HOME CARE,0,0,74,2.19,2.1,0,1,5.4,6.1,0.2,14.8,,RICHLANDS,323,129,198,,125,194,,0,34,13,20,11,45,48,45,46,51,65,,58,16,52,11,12,497027,VA,174 KENTS RIDGE ROAD,530,1212773,27009,1360050,1633420,97,317,24641
1,CARILION HOME CARE FRANKLIN,0,,74,2.05,1.7,0.4,1.1,4.6,8.7,0.3,16.6,47,ROCKY MOUNT,410,120,242,,168,290,,0.3,21,12,19,14,43,39,26,39,46,68,,46,11,48,7,10,497038,VA,390 SOUTH MAIN ST SUITE 105,577,1269715,29827,1439302,1718553,99,357,24151
1,RUSSELL COUNTY MEDICAL CENTER HOME HEALTH,,0,74,1.91,0.5,0,1,2.4,6.9,0.1,10.9,0,LEBANON,206,84,127,0,79,122,,0,33,9,20,9,41,43,47,39,51,62,,46,7,55,13,7,497063,VA,"116 FLANAGAN AVENUE, SUITE C",356,719594,16437,739848,880692,54,204,24266
1,NORTON COMMUNITY HOSPITAL HOME HEALTH,0,0,74,1.94,0.8,0,0.9,4.5,7.3,0,13.5,,WISE,232,78,136,,96,154,0,0,27,9,17,13,43,47,47,42,50,70,,56,13,50,10,10,497068,VA,716 SPRING AVENUE,404,1021436,26982,969585,1158674,86,228,24293
1,PERSONAL TOUCH HOMECARE OF VA,0,,74,2.14,1.5,0.2,1.4,5,10.8,0.3,19.1,369,NEWPORT NEWS,1053,283,638,18,415,770,,2,30,14,17,15,36,43,24,33,45,60,,44,9,57,6,14,497081,VA,"733 THIMBLE SHOALS BLVD, SUITE 150",1355,3926311,61739,3683978,3953067,186,652,23606
1,CARILION HOME CARE SERVICES - ROANOKE,0,,74,1.93,2.2,0.1,0.9,4.7,10,0.1,17.8,139,ROANOKE,1210,332,751,,459,878,11,0.8,23,11,20,14,36,40,26,39,42,61,,42,13,51,8,7,497258,VA,1615 FRANKLIN ROAD,1701,3942030,84357,4496168,5048700,266,1049,24016
1,CONTINUUM HOME HEALTH CARE,,,74,2,0.7,0.1,1.1,5.9,5.1,0.5,13.3,279,CHARLOTTESVILLE,1551,419,881,13,670,1132,20,0,20,14,20,15,33,44,22,38,42,63,,44,11,55,6,11,497490,VA,2205 FONTAINE AVENUE SUITE 104,2059,5481290,207794,5578224,6195112,621,1228,22903
1,"HEALTH PARTNERS HOME CARE, INC",,,74,2.7,7,0.2,1.8,5.1,12.8,0.2,27.1,243,HAMPTON,403,150,249,,154,253,,3.5,37,19,13,10,43,52,22,34,63,66,,55,8,64,10,11,497660,VA,"1919 COMMERCE DRIVE, SUITE 100",691,2514113,19237,2204518,2317778,54,143,23666
1,ST MARY'S HOME HEALTH SERVICE,,,74,2.25,0.7,0.2,2.1,4.2,8.2,0.8,15.6,,HUNTINGTON,526,186,320,,206,340,,0.1,26,11,20,13,47,57,44,48,53,65,,62,14,61,14,12,517055,WV,"5187 US ROUTE 60, SUITE 13",962,3381681,48237,2672093,2989361,141,511,25705
1,GENTIVA HEALTH SERVICES,0,,74,2.55,1.8,0,2,5.2,8.4,0.3,17.7,,CHAPMANVILLE,385,134,236,,149,251,0,0,39,9,17,12,51,61,49,44,60,72,,70,13,58,19,15,517060,WV,PO BOX 4305,755,2189665,22391,2080263,2507617,79,376,25508
1,BECKLEY ARH HOME HEALTH,0,,74,2.35,0.3,0,0,4.7,7.5,0,12.6,35,BECKLEY,537,198,329,0,208,339,,0,32,11,20,11,44,53,54,42,53,63,,66,12,54,16,10,517076,WV,306 STANAFORD ROAD,790,1329495,48767,1690996,2085518,167,501,25801
1,PREFERRED HOME HEALTH,0,0,74,2.13,0.9,0,0,6.7,5.7,0,13.2,0,CEREDO,135,38,70,0,65,97,0,0,24,11,19,13,45,57,51,44,56,,,71,15,55,10,9,517127,WV,211 6TH STREET W,178,267436,10931,478315,531944,38,135,25507
1,MERCY ASSISTED CARE,,,74,1.98,1.9,0.1,1.2,3,8,0.5,14.7,,JANESVILLE,485,120,303,,182,365,,1.5,18,18,19,15,36,46,32,40,40,60,,41,14,52,8,9,527018,WI,901 MINERAL POINT AVE,661,2276230,34724,1686102,1807237,89,460,53548
1,BEST HOME HEALTH,,,74,1.68,15,0,0.3,2.1,13.6,0,31.1,,EVANSTON,267,82,163,11,104,185,,9.2,25,10,18,12,34,39,31,38,41,43,,43,12,41,10,11,537831,WY,637 FRONT STREET,578,2155792,21153,1589509,1512753,78,250,82930
1,UC DAVIS HOME CARE SERVICES,,22,74,2.43,0.5,0.6,0.5,3,7,0.1,11.5,50,SACRAMENTO,265,100,165,20,100,165,,0,25,15,19,13,43,46,22,42,42,51,,52,13,49,5,8,557006,CA,3630 BUSINESS DRIVE,312,1430622,34889,1065421,763628,60,170,95820
1,OPTIMAL HOME HEALTH,,26,74,2.24,0.7,0.1,0.2,3.6,7.7,0.1,12.4,21,BAKERSFIELD,922,362,500,200,422,560,,0,24,16,17,12,47,44,32,32,50,60,,60,9,59,5,13,557289,CA,1315 BOUGHTON DR,1253,2851175,56352,3551238,3406571,145,658,93308
1,TENDER CARE HOME HEALTH,,67,74,2.82,0.2,0.1,0.5,1.8,11.2,0.1,13.8,13,SAN GABRIEL,198,150,108,77,90,48,,4.4,32,11,12,15,31,46,28,24,55,58,,52,13,40,7,7,557603,CA,317 W LAS TUNAS DRIVE #208,301,599856,18776,952629,781943,44,37,91776
1,"NORTH STAR HEALTHCARE, INC",,44,74,2.37,1.8,0.1,0.2,2.6,8.9,0.1,13.6,24,WALNUT,375,119,210,63,165,256,,2,21,13,19,28,37,48,21,30,43,63,,52,15,42,7,10,557718,CA,667 BREA CANYON ROAD SUITE 28,510,959462,36825,1428363,1218965,84,235,91789
